source,allsides_rate,community_rate,community_total,community_agree,community_disagree,community_agree_prop,twitter_handle,twitter_id,twitter_screen_name,twitter_followers_count,twitter_friends_count,url
Tucker Carlson,Right,strongly agree,932,669,263,0.7178111587982833,TuckerCarlson,22703645,TuckerCarlson,4347085,94,http://www.tuckercarlson.com/__CONNECTIONPOOL_ERROR__
Ben Shapiro,Right,strongly agree,3710,2566,1144,0.691644204851752,benshapiro,17995040,benshapiro,3334890,263,https://www.dailywire.com/
GOP.gov,Right,strongly agree,848,566,282,0.6674528301886793,GOP,11134252,GOP,2708630,1617,http://gop.com/__CLIENT_ERROR__
Newt Gingrich,Right,strongly agree,1010,731,279,0.7237623762376237,newtgingrich,20713061,newtgingrich,2281047,942,https://www.gingrich360.com/
MichelleMalkin.com,Right,strongly agree,958,639,319,0.6670146137787056,michellemalkin,15976697,michellemalkin,2069887,17510,https://www.unz.com/mmalkin/
Michelle Malkin,Right,strongly agree,709,480,229,0.6770098730606487,michellemalkin,15976697,michellemalkin,2069887,17510,https://www.unz.com/mmalkin/
Ann Coulter,Right,absolutely agree,2281,1871,410,0.8202542744410346,AnnCoulter,196168350,AnnCoulter,2000929,1282,http://anncoulter.com/__CLIENT_ERROR__
Breitbart News,Right,absolutely agree,45854,35315,10539,0.7701618179439089,BreitbartNews,457984599,BreitbartNews,1497430,112,https://www.breitbart.com/
Glenn Beck,Right,absolutely agree,1252,954,298,0.7619808306709265,glennbeck,17454769,glennbeck,1302522,452,https://www.youtube.com/user/glennbeck/
The Daily Caller,Right,strongly agree,12503,8906,3597,0.712309045829001,DailyCaller,39308549,DailyCaller,730818,7554,https://dailycaller.com/subscribe/
The Daily Wire,Right,strongly agree,11861,8705,3156,0.7339178821347273,realDailyWire,4081106480,realDailyWire,525983,3272,https://www.dailywire.com/subscribe?utm_campaign=SuperTuesday&utm_medium=social&utm_source=twitter&utm_term=supertuesday
Prager University,Right,absolutely agree,4007,3244,763,0.8095832293486399,prageru,41160276,prageru,519685,6154,https://www.prageru.com/
National Review,Right,strongly agree,23869,16918,6951,0.7087854539360677,NRO,19417492,NRO,325642,1364,https://www.nationalreview.com/
The Federalist,Right,absolutely agree,10193,7787,2406,0.7639556558422447,FDRLST,1408003598,FDRLST,252404,737,http://thefederalist.com/__CLIENT_ERROR__
Red State,Right,strongly agree,1129,827,302,0.7325066430469442,RedState,3135241,RedState,231434,362,https://redstate.com/
Fox News (Opinion),Right,absolutely agree,28784,23320,5464,0.8101723179544191,FoxNewsOpinion,107125748,FoxNewsOpinion,141049,305,https://www.foxnews.com/opinion
The Daily Signal,Right,strongly agree,673,481,192,0.7147102526002972,DailySignal,2361224263,DailySignal,65741,4307,https://www.dailysignal.com/
WND.com,Right,strongly agree,1080,773,307,0.7157407407407408,worldnetdaily,43969372,worldnetdaily,65684,268,https://www.wnd.com/
PJ Media,Right,strongly agree,927,655,272,0.7065803667745415,PJMedia_com,7597712,PJMedia_com,58170,31324,https://pjmedia.com/
Fox News Latino,Right,strongly agree,3613,2461,1152,0.6811513977304179,foxnewslatino,161319475,foxnewslatino,53171,260,http://foxnewslatino.com/__CONNECTIONPOOL_ERROR__
The American Spectator,Right,strongly agree,15074,11198,3876,0.7428685153243997,amspectator,16180004,amspectator,40025,14999,https://spectator.org/
The Western Journal,Right,strongly agree,2096,1561,535,0.7447519083969466,WestJournalism,46520074,WestJournalism,37539,369,https://www.westernjournal.com/
American Conservative Union,Right,strongly agree,1406,944,462,0.6714082503556188,ACUConservative,56401482,ACUConservative,34613,5741,
American Greatness,Right,strongly agree,551,406,145,0.7368421052631579,theamgreatness,749016639287414784,theamgreatness,22743,2373,https://amgreatness.com/
Mashable,Left,strongly agree,799,559,240,0.6996245306633292,mashable,972651,mashable,9640748,2736,https://mashable.com/
The New Yorker,Left,absolutely agree,9863,7945,1918,0.8055358410220014,NewYorker,14677919,NewYorker,9004128,373,https://www.newyorker.com/
RollingStone.com,Left,absolutely agree,2286,1784,502,0.7804024496937882,RollingStone,14780915,RollingStone,6294461,360,https://www.rollingstone.com/
MSNBC,Left,absolutely agree,22655,17868,4787,0.7887000662105496,MSNBC,2836421,MSNBC,4088456,766,https://www.msnbc.com/live
