source,source_type,allsides_rate,community_rate,community_total,community_agree,community_disagree,community_agree_prop,source_type_n,select,twitter_handle_manual,twitter_id,twitter_screen_name,twitter_followers_count,twitter_friends_count,url
Prager University,thinktankpolicy,right,absolutely agree,4015,3252,763,0.8099626400996264,0,,prageru,41160276.0,prageru,519685.0,6154.0,https://www.prageru.com/
American Conservative Union,thinktankpolicy,right,strongly agree,1407,945,462,0.6716417910447762,2,,ACUConservative,56401482.0,ACUConservative,34613.0,5741.0,
GOP.gov,thinktankpolicy,right,strongly agree,848,566,282,0.6674528301886793,4,,GOP,11134252.0,GOP,2708630.0,1617.0,http://gop.com/__CLIENT_ERROR__
Americans for Democratic Action,thinktankpolicy,left,strongly agree,1085,770,315,0.7096774193548387,1,,ADAction,17964900.0,ADAction,1410.0,917.0,https://adaction.org/
Breitbart News,news,right,absolutely agree,45914,35369,10545,0.770331489306094,1,1.0,BreitbartNews,457984599.0,BreitbartNews,1497430.0,112.0,https://www.breitbart.com/
Fox News (Opinion),news,right,absolutely agree,28853,23373,5480,0.8100717429730011,2,1.0,FoxNewsOpinion,107125748.0,FoxNewsOpinion,141049.0,305.0,https://www.foxnews.com/opinion
National Review,news,right,strongly agree,23896,16937,6959,0.7087797120857047,3,1.0,NRO,19417492.0,NRO,325642.0,1364.0,https://www.nationalreview.com/
The American Spectator,news,right,strongly agree,15087,11210,3877,0.7430237953204746,6,1.0,amspectator,16180004.0,amspectator,40025.0,14999.0,https://spectator.org/
The Daily Caller,news,right,strongly agree,12519,8917,3602,0.7122773384455627,7,1.0,DailyCaller,39308549.0,DailyCaller,730818.0,7554.0,https://dailycaller.com/subscribe/
The Daily Wire,news,right,strongly agree,11886,8722,3164,0.7338044758539458,8,1.0,realDailyWire,4081106480.0,realDailyWire,525983.0,3272.0,https://www.dailywire.com/subscribe?utm_campaign=SuperTuesday&utm_medium=social&utm_source=twitter&utm_term=supertuesday
The Federalist,news,right,absolutely agree,10214,7806,2408,0.7642451537105933,10,1.0,FDRLST,1408003598.0,FDRLST,252404.0,737.0,http://thefederalist.com/__CLIENT_ERROR__
Fox News Latino,news,right,strongly agree,3617,2465,1152,0.6815040088471108,12,1.0,foxnewslatino,161319475.0,foxnewslatino,53171.0,260.0,http://foxnewslatino.com/__CONNECTIONPOOL_ERROR__
The Western Journal,news,right,strongly agree,2099,1564,535,0.7451167222486899,17,1.0,WestJournalism,46520074.0,WestJournalism,37539.0,369.0,https://www.westernjournal.com/
Red State,news,right,strongly agree,1130,827,303,0.731858407079646,24,,RedState,3135241.0,RedState,231434.0,362.0,https://redstate.com/
WND.com,news,right,strongly agree,1080,773,307,0.7157407407407408,25,,worldnetdaily,43969372.0,worldnetdaily,65684.0,268.0,https://www.wnd.com/
MichelleMalkin.com,news,right,strongly agree,958,639,319,0.6670146137787056,27,,michellemalkin,15976697.0,michellemalkin,2069887.0,17510.0,https://www.unz.com/mmalkin/
PJ Media,news,right,strongly agree,927,655,272,0.7065803667745415,28,,PJMedia_com,7597712.0,PJMedia_com,58170.0,31324.0,https://pjmedia.com/
The Daily Signal,news,right,strongly agree,675,483,192,0.7155555555555555,33,,DailySignal,2361224263.0,DailySignal,65741.0,4307.0,https://www.dailysignal.com/
American Greatness,news,right,strongly agree,552,407,145,0.7373188405797102,36,,theamgreatness,7.490166392874148e+17,theamgreatness,22743.0,2373.0,https://amgreatness.com/
CNN (Opinion),news,left,absolutely agree,34254,27922,6332,0.8151456764173527,3,1.0,CNNOpinion,259074538.0,CNNOpinion,100017.0,436.0,https://www.cnn.com/opinions
BuzzFeed News,news,left,strongly agree,29788,21061,8727,0.7070296763797502,4,1.0,BuzzFeedNews,1020058453.0,BuzzFeedNews,1390917.0,4768.0,https://www.buzzfeednews.com/
MSNBC,news,left,absolutely agree,22698,17902,4796,0.7887038505595206,5,1.0,MSNBC,2836421.0,MSNBC,4088456.0,766.0,https://www.msnbc.com/live
Daily Beast,news,left,strongly agree,22616,16946,5670,0.7492925362575168,6,1.0,thedailybeast,16012783.0,thedailybeast,1321202.0,1000.0,https://www.thedailybeast.com/
Salon,news,left,strongly agree,16665,11499,5166,0.69000900090009,7,1.0,Salon,16955991.0,Salon,977468.0,5810.0,https://www.salon.com/about/ways_to_get_salon
Mother Jones,news,left,absolutely agree,15351,13382,1969,0.871734740407791,8,1.0,MotherJones,18510860.0,MotherJones,861142.0,235.0,https://www.motherjones.com/
New York Times (Opinion),news,left,absolutely agree,15282,11990,3292,0.7845831697421803,9,1.0,nytopinion,16686144.0,nytopinion,786896.0,1449.0,https://www.nytimes.com/section/opinion
Democracy Now,news,left,absolutely agree,14479,11758,2721,0.8120726569514469,10,1.0,democracynow,16935292.0,democracynow,787167.0,6543.0,https://www.democracynow.org/
AlterNet,news,left,absolutely agree,13857,11474,2383,0.8280291549397416,11,1.0,AlterNet,18851248.0,AlterNet,138003.0,15944.0,https://www.alternet.org/
Slate,news,left,strongly agree,11460,8211,3249,0.7164921465968587,12,1.0,Slate,15164565.0,Slate,1807481.0,661.0,https://slate.com/
The New Yorker,news,left,absolutely agree,9890,7970,1920,0.8058645096056622,13,1.0,NewYorker,14677919.0,NewYorker,9004128.0,373.0,https://www.newyorker.com/
Daily Kos,news,left,strongly agree,7711,5635,2076,0.7307742186486837,14,1.0,dailykos,20818801.0,dailykos,292345.0,6910.0,https://podcasts.apple.com/us/podcast/daily-kos-the-brief/id1549983077
The Intercept,news,left,absolutely agree,5808,4497,1311,0.7742768595041323,15,1.0,theintercept,2329066872.0,theintercept,859113.0,361.0,https://theintercept.com/
ThinkProgress,news,left,absolutely agree,3628,2732,896,0.75303197353914,17,1.0,thinkprogress,55355654.0,thinkprogress,798958.0,888.0,https://thinkprogress.org/
Vice,news,left,absolutely agree,3178,2507,671,0.7888609188168659,18,1.0,VICE,23818581.0,VICE,2043511.0,10889.0,https://www.vice.com/en
New York Magazine,news,left,strongly agree,3122,2178,944,0.6976297245355542,19,1.0,NYMag,45564482.0,NYMag,1816378.0,911.0,https://nymag.com/
RollingStone.com,news,left,absolutely agree,2287,1785,502,0.7804984696108439,21,,RollingStone,14780915.0,RollingStone,6294461.0,360.0,https://www.rollingstone.com/
New York Daily News,news,left,strongly agree,2008,1384,624,0.6892430278884463,22,,NYDailyNews,9763482.0,NYDailyNews,799806.0,864.0,https://linktr.ee/nydailynews
The Nation,news,left,absolutely agree,1884,1430,454,0.7590233545647559,23,,thenation,1947301.0,thenation,1281672.0,8949.0,http://www.thenation.com/__CONNECTIONPOOL_ERROR__
Esquire,news,left,strongly agree,1776,1189,587,0.6694819819819819,25,,esquire,20455625.0,esquire,436881.0,3513.0,https://www.esquire.com/
Raw Story,news,left,strongly agree,1685,1170,515,0.6943620178041543,26,,RawStory,16041234.0,RawStory,222245.0,3949.0,https://www.rawstory.com/
PoliticusUSA,news,left,strongly agree,1468,1093,375,0.7445504087193461,29,,politicususa,14792049.0,politicususa,78946.0,3823.0,http://politicususa.com/__CLIENT_ERROR__
San Francisco Chronicle,news,left,strongly agree,1452,1056,396,0.7272727272727273,30,,sfchronicle,121597316.0,sfchronicle,248014.0,272.0,https://www.sfchronicle.com/
Jacobin,news,left,absolutely agree,1063,854,209,0.8033866415804327,34,,jacobinmag,170254080.0,jacobinmag,333780.0,83.0,https://jacobinmag.com/subscribe
Mashable,news,left,strongly agree,802,562,240,0.7007481296758105,38,,mashable,972651.0,mashable,9640748.0,2736.0,https://mashable.com/
Socialist Alternative,news,left,strongly agree,726,503,223,0.6928374655647382,39,,SocialistAlt,392893830.0,SocialistAlt,26783.0,2796.0,https://www.socialistalternative.org/
AJ+,news,left,strongly agree,624,468,156,0.75,42,,ajplus,110396781.0,ajplus,1175602.0,356.0,https://www.ajplus.net/subtext?utm_source=twprofile&utm_medium=subtext&utm_campaign=social
Current Affairs,news,left,strongly agree,617,427,190,0.6920583468395461,43,,curaffairs,4128420672.0,curaffairs,139066.0,349.0,https://www.currentaffairs.org/
Ben Shapiro,author,right,strongly agree,3712,2568,1144,0.6918103448275862,0,,benshapiro,17995040.0,benshapiro,3334890.0,263.0,https://www.dailywire.com/
Ann Coulter,author,right,absolutely agree,2283,1873,410,0.8204117389399912,1,,AnnCoulter,196168350.0,AnnCoulter,2000929.0,1282.0,http://anncoulter.com/__CLIENT_ERROR__
Glenn Beck,author,right,absolutely agree,1252,954,298,0.7619808306709265,5,,glennbeck,17454769.0,glennbeck,1302522.0,452.0,https://www.youtube.com/user/glennbeck/
Newt Gingrich,author,right,strongly agree,1011,732,279,0.7240356083086054,6,,newtgingrich,20713061.0,newtgingrich,2281047.0,942.0,https://www.gingrich360.com/
Tucker Carlson,author,right,strongly agree,933,669,264,0.7170418006430869,7,,TuckerCarlson,22703645.0,TuckerCarlson,4347085.0,94.0,http://www.tuckercarlson.com/__CONNECTIONPOOL_ERROR__
Michelle Malkin,author,right,strongly agree,709,480,229,0.6770098730606487,11,,michellemalkin,15976697.0,michellemalkin,2069887.0,17510.0,https://www.unz.com/mmalkin/
Rev. Jesse Jackson Sr.,author,left,absolutely agree,663,536,127,0.808446455505279,3,,RevJJackson,80366372.0,RevJJackson,185969.0,12683.0,https://rainbowpush.org/
